drug,threshold,balanced_accuracy
trametinib,0.0,0.5
trametinib,0.01,0.5
trametinib,0.02,0.5
trametinib,0.03,0.5
trametinib,0.04,0.5
trametinib,0.05,0.5
trametinib,0.06,0.5
trametinib,0.07,0.5
trametinib,0.08,0.5
trametinib,0.09,0.5
trametinib,0.1,0.5
trametinib,0.11,0.5
trametinib,0.12,0.5
trametinib,0.13,0.5
trametinib,0.14,0.5
trametinib,0.15,0.5
trametinib,0.16,0.5
trametinib,0.17,0.5
trametinib,0.18,0.5
trametinib,0.19,0.5
trametinib,0.2,0.5
trametinib,0.21,0.5
trametinib,0.22,0.5
trametinib,0.23,0.5
trametinib,0.24,0.5
trametinib,0.25,0.5
trametinib,0.26,0.5
trametinib,0.27,0.5
trametinib,0.28,0.5
trametinib,0.29,0.5
trametinib,0.3,0.5
trametinib,0.31,0.5
trametinib,0.32,0.6
trametinib,0.33,0.55
trametinib,0.34,0.6
trametinib,0.35000000000000003,0.6
trametinib,0.36,0.6
trametinib,0.37,0.6
trametinib,0.38,0.6
trametinib,0.39,0.55
trametinib,0.4,0.55
trametinib,0.41000000000000003,0.6000000000000001
trametinib,0.42,0.6000000000000001
trametinib,0.43,0.6000000000000001
trametinib,0.44,0.65
trametinib,0.45,0.65
trametinib,0.46,0.65
trametinib,0.47000000000000003,0.65
trametinib,0.48,0.65
trametinib,0.49,0.7
trametinib,0.5,0.7
trametinib,0.51,0.75
trametinib,0.52,0.75
trametinib,0.53,0.8
trametinib,0.54,0.8500000000000001
trametinib,0.55,0.8500000000000001
trametinib,0.56,0.8500000000000001
trametinib,0.5700000000000001,0.8500000000000001
trametinib,0.58,0.8500000000000001
trametinib,0.59,0.8500000000000001
trametinib,0.6,0.8500000000000001
trametinib,0.61,0.8500000000000001
trametinib,0.62,0.8500000000000001
trametinib,0.63,0.8500000000000001
trametinib,0.64,0.8
trametinib,0.65,0.85
trametinib,0.66,0.85
trametinib,0.67,0.65
trametinib,0.68,0.55
trametinib,0.6900000000000001,0.5
trametinib,0.7000000000000001,0.5
trametinib,0.71,0.5
trametinib,0.72,0.5
trametinib,0.73,0.5
trametinib,0.74,0.5
trametinib,0.75,0.5
trametinib,0.76,0.5
trametinib,0.77,0.5
trametinib,0.78,0.5
trametinib,0.79,0.5
trametinib,0.8,0.5
trametinib,0.81,0.5
trametinib,0.8200000000000001,0.5
trametinib,0.8300000000000001,0.5
trametinib,0.84,0.5
trametinib,0.85,0.5
trametinib,0.86,0.5
trametinib,0.87,0.5
trametinib,0.88,0.5
trametinib,0.89,0.5
trametinib,0.9,0.5
trametinib,0.91,0.5
trametinib,0.92,0.5
trametinib,0.93,0.5
trametinib,0.9400000000000001,0.5
trametinib,0.9500000000000001,0.5
trametinib,0.96,0.5
trametinib,0.97,0.5
trametinib,0.98,0.5
trametinib,0.99,0.5
trametinib,1.0,0.5
afatinib,0.0,0.5
afatinib,0.01,0.5
afatinib,0.02,0.5
afatinib,0.03,0.5
afatinib,0.04,0.5
afatinib,0.05,0.5
afatinib,0.06,0.5
afatinib,0.07,0.5
afatinib,0.08,0.5
afatinib,0.09,0.5
afatinib,0.1,0.5
afatinib,0.11,0.5
afatinib,0.12,0.5
afatinib,0.13,0.5
afatinib,0.14,0.5
afatinib,0.15,0.5
afatinib,0.16,0.5
afatinib,0.17,0.5
afatinib,0.18,0.5
afatinib,0.19,0.5
afatinib,0.2,0.5
afatinib,0.21,0.5
afatinib,0.22,0.5
afatinib,0.23,0.5
afatinib,0.24,0.5
afatinib,0.25,0.5
afatinib,0.26,0.5
afatinib,0.27,0.5
afatinib,0.28,0.5
afatinib,0.29,0.5
afatinib,0.3,0.5
afatinib,0.31,0.5454545454545454
afatinib,0.32,0.6818181818181819
afatinib,0.33,0.7272727272727273
